model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,n_test,fit_time_s,best_params,n_train,params
Naive,C6H6(GT),1,10.289946376833662,8.061665182546749,233.95005160650916,-1.6053120796751514,2246.0,,,,
Naive,C6H6(GT),6,10.190392137854586,8.028246318607765,260.89634391699707,-1.5500363231307905,2241.0,,,,
Naive,C6H6(GT),12,10.536305615247553,8.240536912751677,249.75864784295263,-1.7218073927615536,2235.0,,,,
Naive,C6H6(GT),24,10.278518580978641,7.965811965811966,229.5791671059671,-1.5793997691674853,2223.0,,,,
Naive,CO(GT),1,1.904159574866002,1.4615316117542296,126.6573044059484,-1.0765856546820878,2246.0,,,,
Naive,CO(GT),6,1.8644433594525933,1.4306559571619812,124.95482606431192,-0.9870754108364297,2241.0,,,,
Naive,CO(GT),12,1.9401273050322094,1.5045637583892617,127.4440411958363,-1.1478328386895118,2235.0,,,,
Naive,CO(GT),24,1.8861965146685586,1.4362123256860098,122.98389909776313,-1.0249026044384069,2223.0,,,,
Naive,NO2(GT),1,75.54215738445268,59.78762243989314,43.57457140642378,-1.2902339299962824,2246.0,,,,
Naive,NO2(GT),6,75.82577378211451,61.03748326639893,45.756283281863304,-1.3038937072628647,2241.0,,,,
Naive,NO2(GT),12,74.91056561769716,59.795973154362414,44.065644871493376,-1.2472655123132759,2235.0,,,,
Naive,NO2(GT),24,74.46532763805524,58.72064777327935,42.62060741435735,-1.2108586209301717,2223.0,,,,
Naive,NOx(GT),1,275.963494688541,201.08014247551202,63.88216789705478,-0.9990131280745462,2246.0,,,,
Naive,NOx(GT),6,270.6284750918992,199.52074966532797,65.92121125293832,-0.9192170330482812,2241.0,,,,
Naive,NOx(GT),12,277.47061919961124,206.86532438478747,69.382443771257,-1.0146423925746162,2235.0,,,,
Naive,NOx(GT),24,273.81902965033396,199.60953666216824,62.99074071579407,-0.9607090354734007,2223.0,,,,
ElasticNet,C6H6(GT),1,3.2311342455265435,2.329300095542679,48.46693457886704,0.7431121674538044,,3.335216999053955,"{'alpha': 0.1, 'l1_ratio': 0.3, 'max_iter': 2000}",,
Lasso,C6H6(GT),1,3.1866263422775614,2.248034881942526,47.858337845071524,0.7501405303464955,,2.5946664810180664,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),1,3.3918440692627243,2.5254099224276687,54.86346555106414,0.7169225419802541,,0.013171195983886719,{},,
Ridge,C6H6(GT),1,3.326732724203358,2.4730428171850822,52.39408879490072,0.7276863881515063,,0.1547093391418457,{'alpha': 100.0},,
ElasticNet,C6H6(GT),6,5.186343216658239,4.061927519296714,106.26602978996111,0.33947831354311264,,3.0655930042266846,"{'alpha': 0.1, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,C6H6(GT),6,5.160010776984226,4.024147802986315,104.30653940406043,0.3461685736846103,,2.390666961669922,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),6,5.4824043690506805,4.320287238682944,110.53610454736015,0.26191444901898475,,0.012671947479248047,{},,
Ridge,C6H6(GT),6,5.5215325956123955,4.446401728903976,123.47440712669622,0.25134133703342076,,0.1653904914855957,{'alpha': 10.0},,
ElasticNet,C6H6(GT),12,5.084166028843402,3.873296562338968,102.81794380418393,0.3662468663346744,,1.7649199962615967,"{'alpha': 1.0, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,C6H6(GT),12,5.092224353127803,3.8865339598600004,103.3617099334573,0.3642362964646412,,1.3424208164215088,"{'alpha': 1.0, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),12,5.661876413798832,4.385290373301944,133.75380789229638,0.21403819430917748,,0.013230323791503906,{},,
Ridge,C6H6(GT),12,5.571177693399251,4.4211128347427655,131.03202939404085,0.23901746081799546,,0.1671586036682129,{'alpha': 100.0},,
ElasticNet,C6H6(GT),24,5.097711662277961,3.8317839877189863,97.65009466324956,0.3655343119759358,,2.302595615386963,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 2000}",,
Lasso,C6H6(GT),24,5.105399174652745,3.8215371848550572,97.21946772540709,0.36361927996295573,,1.3560936450958252,"{'alpha': 1.0, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),24,5.394628545445412,4.164462255694742,107.5844885916738,0.2894728159986908,,0.012524127960205078,{},,
Ridge,C6H6(GT),24,6.1566396634417675,5.083061376804909,148.6201702649877,0.07456679573951597,,0.1546471118927002,{'alpha': 100.0},,
ElasticNet,CO(GT),1,0.683314901334624,0.519282712140639,47.19950847536989,0.7325855007378315,,4.957907438278198,"{'alpha': 0.01, 'l1_ratio': 0.3, 'max_iter': 2000}",,
Lasso,CO(GT),1,0.6726465283809573,0.5080938787808346,45.270257918350104,0.740870427881761,,4.374631881713867,"{'alpha': 0.001, 'max_iter': 2000}",,
LinearRegression,CO(GT),1,0.6786642862784034,0.5112888865478321,45.690219434293724,0.7362131394869165,,0.06389951705932617,{},,
Ridge,CO(GT),1,0.6780316986080985,0.5138236403547846,46.423332563541976,0.7367046654132583,,3.608121156692505,{'alpha': 100.0},,
ElasticNet,CO(GT),6,1.2042438441279961,0.984972492406673,100.73200019423933,0.17101851573466276,,4.954842805862427,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,CO(GT),6,1.229566242690437,1.0109610529697373,104.18215468540272,0.13578893397557568,,4.550354480743408,"{'alpha': 0.01, 'max_iter': 2000}",,
LinearRegression,CO(GT),6,1.1242228195433543,0.8649268727441036,80.01824128779026,0.27752844417177336,,0.01188802719116211,{},,
Ridge,CO(GT),6,1.1480245315077406,0.9266074787802268,93.65965853782761,0.24661269595732205,,1.9750351905822754,{'alpha': 100.0},,
ElasticNet,CO(GT),12,1.1713704026722473,0.9234807374959144,95.11671005370742,0.21705993942665935,,1.4082326889038086,"{'alpha': 1.0, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,CO(GT),12,1.190865205418849,0.9461572380560911,98.2465884194933,0.19078255834910096,,1.1627376079559326,"{'alpha': 1.0, 'max_iter': 2000}",,
LinearRegression,CO(GT),12,1.1029671378640025,0.8285065567439271,77.48027646728289,0.3058310744633639,,0.011648893356323242,{},,
Ridge,CO(GT),12,1.1420795124590446,0.9153883286301642,94.99271263782609,0.2557262464493666,,0.15490198135375977,{'alpha': 0.1},,
ElasticNet,CO(GT),24,1.1620932138687825,0.8996512956064242,91.89382655279697,0.23137909347618102,,1.0538654327392578,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 2000}",,
Lasso,CO(GT),24,1.1828973603210637,0.9377232630686497,99.58243862793232,0.20361258536934468,,2.4756968021392822,"{'alpha': 0.01, 'max_iter': 2000}",,
LinearRegression,CO(GT),24,1.0832559076194315,0.8099634500834761,76.29272198193972,0.33212929351972054,,0.01303410530090332,{},,
Ridge,CO(GT),24,1.2160299131091297,0.9805275638074126,106.08054259110591,0.15837470544783872,,0.16592669486999512,{'alpha': 0.1},,
ElasticNet,NO2(GT),1,23.776858695433326,17.8032126795817,15.352603240637489,0.7731127814798537,,3.671567916870117,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NO2(GT),1,23.70130980188086,17.821535473854972,15.340750556879023,0.7745523195112952,,2.819946050643921,"{'alpha': 0.001, 'max_iter': 2000}",,
LinearRegression,NO2(GT),1,24.95342406261961,18.80105798692956,15.610379487208819,0.7501028105847762,,0.011024951934814453,{},,
Ridge,NO2(GT),1,23.70382235426073,17.822352798900383,15.34975825897797,0.7745045180070546,,0.15296578407287598,{'alpha': 1.0},,
ElasticNet,NO2(GT),6,38.72595188888305,30.21383371674582,25.833315416699783,0.3990574715099354,,4.2544004917144775,"{'alpha': 0.01, 'l1_ratio': 0.3, 'max_iter': 2000}",,
Lasso,NO2(GT),6,38.40790584732828,29.994300915035687,25.817741839262613,0.40888770388078444,,2.5901362895965576,"{'alpha': 0.01, 'max_iter': 2000}",,
LinearRegression,NO2(GT),6,42.688777233585675,33.20269660790375,26.688764601054928,0.26977589155758075,,0.013466119766235352,{},,
Ridge,NO2(GT),6,38.457189200076826,30.088710534559816,26.00323979272609,0.40736975148973686,,0.1544499397277832,{'alpha': 0.1},,
ElasticNet,NO2(GT),12,39.50124265327647,30.286408596668725,23.93782652222805,0.3751298906592847,,3.576766014099121,"{'alpha': 0.1, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NO2(GT),12,39.55879330812633,30.337031679967858,23.90655459082799,0.3733077767990972,,2.99082350730896,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,NO2(GT),12,44.74141502198673,34.762272194872644,26.060560194819814,0.19834470593767817,,0.012522697448730469,{},,
Ridge,NO2(GT),12,39.4323280860031,30.247178757619533,23.908266000922673,0.37730830765904155,,0.15418314933776855,{'alpha': 100.0},,
ElasticNet,NO2(GT),24,39.24197471654377,30.074358386354834,23.63589943569698,0.38601965399083626,,3.6101293563842773,"{'alpha': 0.1, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NO2(GT),24,39.44188062618908,30.262947080317367,23.673961463064273,0.3797482608556837,,2.676220417022705,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,NO2(GT),24,48.36032272198687,37.98268271208124,26.362003681862927,0.06753799910967706,,0.01269388198852539,{},,
Ridge,NO2(GT),24,39.35750453477265,30.27168497299627,23.549979083151346,0.38239917092284914,,0.15414929389953613,{'alpha': 100.0},,
ElasticNet,NOx(GT),1,91.32558160769533,65.01051975700419,27.412231478018427,0.7810740375784986,,4.001079320907593,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NOx(GT),1,91.04143814697923,65.25939457051051,27.392033658441022,0.7824342174407385,,3.175546884536743,"{'alpha': 0.001, 'max_iter': 2000}",,
LinearRegression,NOx(GT),1,95.61342550627326,67.31685709832765,27.00681975388492,0.7600337693467567,,0.013622760772705078,{},,
Ridge,NOx(GT),1,91.03092292524353,65.27002756701184,27.41094572507906,0.7824844719265063,,0.15418052673339844,{'alpha': 0.1},,
ElasticNet,NOx(GT),6,157.94853953386507,116.07476251555337,46.939984766321906,0.3462550642491392,,4.25564980506897,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NOx(GT),6,157.14067359689133,116.3754397868889,47.88914827588687,0.35292543450121794,,3.0495638847351074,"{'alpha': 0.01, 'max_iter': 2000}",,
LinearRegression,NOx(GT),6,173.3608470137777,123.56127486467581,44.703598694682405,0.2124481629119288,,0.012604951858520508,{},,
Ridge,NOx(GT),6,157.1467063959449,116.52984758076751,48.04156925083711,0.3528757497738966,,0.1536710262298584,{'alpha': 0.1},,
ElasticNet,NOx(GT),12,166.91825924175146,117.58930177025363,42.07926605732876,0.2709259252802043,,4.450608968734741,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NOx(GT),12,167.08450835342063,117.70735641521779,42.25382122960039,0.2694728993641482,,3.0568833351135254,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,NOx(GT),12,193.77000034299252,138.464897204935,43.654788904399474,0.017489859035846766,,0.012485980987548828,{},,
Ridge,NOx(GT),12,166.11152256121468,117.98270720608105,43.238475197904606,0.27795630590249343,,0.15377092361450195,{'alpha': 0.1},,
ElasticNet,NOx(GT),24,166.49344233396522,118.50040127189713,42.800419215663446,0.27509655894827634,,3.8011350631713867,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,NOx(GT),24,165.3199828504271,118.25093259638467,43.14325995287552,0.28527890725375893,,3.2523627281188965,"{'alpha': 0.001, 'max_iter': 2000}",,
LinearRegression,NOx(GT),24,200.6206042212166,145.68670459402176,44.707234917430036,-0.05253601252062201,,0.01315450668334961,{},,
Ridge,NOx(GT),24,165.2372196499129,118.18398383162022,43.14532585459726,0.28599434161898585,,0.15468525886535645,{'alpha': 0.1},,
DecisionTree,CO(GT),1,0.9602098271420428,0.6451785162360465,56.265215882757005,0.47194949715134193,2246.0,0.3609910011291504,,7086.0,
RandomForest,CO(GT),1,0.6476578907838673,0.4722705550608491,44.814249140458955,0.7597659903118285,2246.0,6.302101135253906,,7086.0,
ExtraTrees,CO(GT),1,0.627031312262165,0.4517955253784506,41.45578416596572,0.774824246077747,2246.0,2.9562270641326904,,7086.0,
GBDT,CO(GT),1,0.6516112626248621,0.4930159960556476,45.89556827605621,0.7568242118762852,2246.0,38.80250787734985,,7086.0,
DecisionTree,CO(GT),6,1.5845264909195316,1.1554349713076262,98.24913376715475,-0.4352084055599079,2241.0,0.4379901885986328,,7086.0,
RandomForest,CO(GT),6,1.1319014253589548,0.8927895284843075,89.41723382157821,0.2676255680440973,2241.0,6.9807116985321045,,7086.0,
ExtraTrees,CO(GT),6,1.09065580708341,0.828498661311914,81.37876229884971,0.3200274315821454,2241.0,2.8723244667053223,,7086.0,
GBDT,CO(GT),6,1.10933296685588,0.8572111042717582,85.01595157698542,0.29653936554810045,2241.0,40.336036682128906,,7086.0,
DecisionTree,CO(GT),12,1.4830375520227241,1.056532714894069,93.79972257443495,-0.25500171187307674,2235.0,0.37654662132263184,,7086.0,
RandomForest,CO(GT),12,1.1332191430168856,0.8896633855331841,88.32891112687359,0.26722975350296907,2235.0,7.321350574493408,,7086.0,
ExtraTrees,CO(GT),12,1.1310009392112117,0.8882494407158832,86.5761003096697,0.2700956473917253,2235.0,3.5666322708129883,,7086.0,
GBDT,CO(GT),12,1.194919592594008,0.9358556922814241,96.31485943295525,0.185263099385935,2235.0,44.924805879592896,,7086.0,
DecisionTree,CO(GT),24,1.6724236879806849,1.2252227439855985,104.64635190117232,-0.5919260273592648,2223.0,0.40370655059814453,,7086.0,
RandomForest,CO(GT),24,1.273349806845821,1.002815114709851,101.57304562809473,0.07716147485114744,2223.0,7.487659931182861,,7086.0,
ExtraTrees,CO(GT),24,1.2304286507498685,0.9709660368870887,99.87698111165616,0.13832571329521404,2223.0,3.7991721630096436,,7086.0,
GBDT,CO(GT),24,1.2123612151222825,0.9440854211004472,94.92567571313594,0.1634453230756273,2223.0,43.79311943054199,,7086.0,
DecisionTree,C6H6(GT),1,3.855552985707836,2.4444254698008754,38.331773502136244,0.634231011134692,2246.0,0.40628767013549805,,7086.0,
RandomForest,C6H6(GT),1,2.760254882967742,1.8225783615316111,32.72560427074342,0.8125299463621132,2246.0,7.885739803314209,,7086.0,
ExtraTrees,C6H6(GT),1,2.7714345546194545,1.8189779608192322,32.56116626709413,0.8110082767485374,2246.0,4.614176034927368,,7086.0,
GBDT,C6H6(GT),1,2.851980705401396,1.9527393839131395,40.71872372385427,0.7998633177308077,2246.0,43.62951922416687,,7086.0,
DecisionTree,C6H6(GT),6,7.652109415568117,5.048255008355024,102.15508450668823,-0.4378941480676195,2241.0,0.41581130027770996,,7086.0,
RandomForest,C6H6(GT),6,5.417714559914047,4.221471366949278,103.19413527165548,0.27922981518437595,2241.0,7.688093423843384,,7086.0,
ExtraTrees,C6H6(GT),6,5.192800458043316,4.043349843819722,103.63749648207437,0.33783252847019385,2241.0,4.345413684844971,,7086.0,
GBDT,C6H6(GT),6,4.841519981132055,3.796392761780288,94.74300370822371,0.42439039694747216,2241.0,44.6320104598999,,7086.0,
DecisionTree,C6H6(GT),12,6.86626177232801,4.709497597290537,114.57905067046816,-0.15590298196536923,2235.0,0.4771914482116699,,7086.0,
RandomForest,C6H6(GT),12,5.251224351109207,4.061828486204324,102.89028317993576,0.3239141953214638,2235.0,8.587072134017944,,7086.0,
ExtraTrees,C6H6(GT),12,5.388777631820831,4.241594183445189,110.74560998531014,0.2880308162736108,2235.0,4.4265899658203125,,7086.0,
GBDT,C6H6(GT),12,5.9756421789704595,4.678574249804385,140.7608172802578,0.12451272324306206,2235.0,45.389684438705444,,7086.0,
DecisionTree,C6H6(GT),24,7.215066940926367,5.152951414103579,123.6205059675453,-0.2709788850411179,2223.0,0.4726722240447998,,7086.0,
RandomForest,C6H6(GT),24,5.729513092061556,4.538819613135404,121.8159507611749,0.198519356360493,2223.0,8.389704704284668,,7086.0,
ExtraTrees,C6H6(GT),24,5.670425678309235,4.560518556005397,122.45638988750413,0.21496516021128464,2223.0,4.445086717605591,,7086.0,
GBDT,C6H6(GT),24,6.000156666863985,4.6790724963361985,127.34147470979862,0.1210123233628192,2223.0,45.32625436782837,,7086.0,
DecisionTree,NOx(GT),1,142.20710075737955,95.84391194103544,35.107601380301425,0.4691706359179181,2246.0,0.4082930088043213,,7086.0,
RandomForest,NOx(GT),1,86.88102242463093,63.3966948649451,26.117625484565956,0.801864534130353,2246.0,8.64043140411377,,7086.0,
ExtraTrees,NOx(GT),1,87.54144198382,62.30615650044524,24.485576313907192,0.7988408618432579,2246.0,4.157487630844116,,7086.0,
GBDT,NOx(GT),1,88.14253527334442,63.87682614699519,27.46340926323056,0.796068905356673,2246.0,44.98168325424194,,7086.0,
DecisionTree,NOx(GT),6,234.40752003537528,171.45621363308487,74.89614442730573,-0.43985974100042924,2241.0,0.39414477348327637,,7086.0,
RandomForest,NOx(GT),6,150.1042250746611,113.24901383311021,50.67763292298593,0.40957744201448043,2241.0,8.15205979347229,,7086.0,
ExtraTrees,NOx(GT),6,146.98760990390937,107.95752008032129,44.08168663336334,0.43384080553657156,2241.0,3.9501805305480957,,7086.0,
GBDT,NOx(GT),6,175.00562758460208,139.321832911773,69.02379903904297,0.19743329799942144,2241.0,45.08206605911255,,7086.0,
DecisionTree,NOx(GT),12,231.31105406078302,168.59164573943553,70.26890801654126,-0.40009252475367285,2235.0,0.4032776355743408,,7086.0,
RandomForest,NOx(GT),12,172.22265304533445,124.47580014914243,51.35708003848154,0.22385205516523377,2235.0,8.199741125106812,,7086.0,
ExtraTrees,NOx(GT),12,152.91945387489994,111.0422427293065,46.01003173945727,0.3880873403511731,2235.0,4.188443899154663,,7086.0,
GBDT,NOx(GT),12,163.89864231362762,119.80022758550247,47.778910275859786,0.2970658000512699,2235.0,45.48450422286987,,7086.0,
DecisionTree,NOx(GT),24,213.41809292261513,161.07787290965652,68.61368327699527,-0.19110038653818195,2223.0,0.40741753578186035,,7086.0,
RandomForest,NOx(GT),24,168.6862228636666,122.74395111710902,52.44659005563443,0.2558763225405376,2223.0,8.332305908203125,,7086.0,
