model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,fit_time_s,n_train_seq,n_val_seq,n_test_seq,seq_len,params
LSTM_nn48,CO(GT),1,1.346473958085734,0.9149861781196792,48.168425954564846,-0.02453087625200423,101.39008569717407,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,CO(GT),1,1.1299925016730938,0.867664672983552,63.07245993824271,0.278427026940697,107.01471161842346,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,CO(GT),6,1.2413060994257787,0.8958092802060716,65.70505416078599,0.13030587259122572,76.07869362831116,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,CO(GT),6,1.1795778588883414,0.8526105938854551,63.45408185515047,0.21465228784135904,94.78137493133545,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,CO(GT),12,1.5841669535125051,1.1748336367373793,74.0224771543755,-0.4144009418223855,47.831504583358765,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,CO(GT),12,1.1715683541829063,0.8860038960417239,72.5949866542493,0.22641880773979206,92.91847586631775,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,CO(GT),24,1.4273479442120713,1.010559431572705,59.953757166810895,-0.14807305225289946,52.22401666641235,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,CO(GT),24,1.1422165655702923,0.8082626859767034,61.99372093427223,0.2647979245081692,44.82384920120239,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,C6H6(GT),1,5.668743318241403,4.17699869362152,92.73129329878354,0.2214307962897185,84.99802207946777,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,C6H6(GT),1,8.071840669350223,6.19666424480391,94.85376380392879,-0.578588002196913,96.323885679245,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,C6H6(GT),6,7.198673445133562,5.648865329120359,140.39794950279327,-0.25268052134193253,72.65241527557373,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,C6H6(GT),6,6.545224622269696,4.7547328706494545,70.56948102084047,-0.035581990840344746,99.06435966491699,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,C6H6(GT),12,7.462684252920059,6.046222568709758,159.6138306512304,-0.34256903580598097,44.48578333854675,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,C6H6(GT),12,6.820581389520845,4.883000271871918,68.07295677801596,-0.12147419287668604,99.20798754692078,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,C6H6(GT),24,7.29308920522594,5.700321750627379,131.9988690984816,-0.2752107476555985,71.0540235042572,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,C6H6(GT),24,7.780857068557662,5.991062519438428,84.02753662155352,-0.4514891312087279,96.29712843894958,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NOx(GT),1,264.0098699636262,193.94746938826566,61.46095082641083,-0.8134358797204171,56.248377561569214,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NOx(GT),1,242.46900703960853,176.30321443409554,65.59743632841099,-0.5295875699555208,112.84222364425659,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NOx(GT),6,203.82066427660115,148.141242120561,61.08209373357274,-0.0791980343574632,147.79381370544434,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NOx(GT),6,178.15055780245214,132.2142201778203,54.28327827159157,0.17552195885835886,219.44291353225708,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NOx(GT),12,257.13619558677635,185.7546061562541,58.47686463917916,-0.7167323669331167,67.24429225921631,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NOx(GT),12,213.3668221565318,166.0071141161229,78.36986568667896,-0.18203393553712832,224.23196482658386,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NOx(GT),24,300.77082383720284,229.65535246702734,73.74067253004498,-1.3490026726946387,80.26301717758179,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NOx(GT),24,227.80647561508653,174.30147666186917,67.86463741631682,-0.34754795852435927,145.00506019592285,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NO2(GT),1,77.51332222038106,61.70666752942669,42.809906528119036,-1.382807287202012,62.34044003486633,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NO2(GT),1,143.14324087884222,129.13797794655812,90.96490698923952,-7.126020410897096,57.53991627693176,5617,1375,2199,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NO2(GT),6,73.19506516886275,58.31434041726231,39.69090125794759,-1.1205624725618755,73.60447001457214,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NO2(GT),6,117.17095086946324,97.19411061301406,69.82425587952076,-4.434096876520886,145.10872077941895,5617,1375,2194,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NO2(GT),12,72.38910995469715,57.43316883231484,39.453343048031385,-1.0707423301728798,52.658639907836914,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NO2(GT),12,86.79620641423885,63.94296090630389,46.20077062312004,-1.9770153613710701,100.85369205474854,5617,1375,2188,48,"LR=0.0005,BATCH=64,EPOCHS=100"
LSTM_nn48,NO2(GT),24,109.7693902638533,90.48690757851855,63.28485829552504,-3.744538721894344,47.64119744300842,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
GRU_nn48,NO2(GT),24,131.75645818579602,115.43937620750341,80.88450966017385,-5.835579133847511,42.78760480880737,5617,1375,2176,48,"LR=0.0005,BATCH=64,EPOCHS=100"
